"PVWatts: Hourly PV Performance Data"
"Requested Location:","16335, USA"
"Location:","Lat, Lon: 41.65, -80.14"
"Lat (deg N):","41.65"
"Long (deg W):","80.14"
"Elev (m):","406.92001342773"
"DC System Size (kW):","1"
"Module Type:","Premium"
"Array Type:","Fixed (open rack)"
"Array Tilt (deg):","20"
"Array Azimuth (deg):","180"
"System Losses:","14.08"
"Invert Efficiency:","96"
"DC to AC Size Ratio:","1.2"
"Average Cost of Electricity Purchased from Utility ($/kWh):","0.119"
"Capacity Factor (%)","13.9"	

"Month","Day","Hour","Beam Irradiance (W/m^2)","Diffuse Irradiance (W/m^2)","Ambient Temperature (C)","Wind Speed (m/s)","Plane of Array Irradiance (W/m^2)","Cell Temperature (C)","DC Array Output (W)","AC System Output (W)"
"1","10","12","615","118","2","0","603.999","27.564","511.473","492.309"
"1","10","13","103","183","3","0","270.037","17.332","237.628","227.203"
"1","10","14","0","73","2","0","69.654","5.372","63.958","57.63"
"1","10","15","271","86","1","0","231.783","8.765","204.624","195.064"
"1","10","16","159","34","0","0","97.95","4.033","83.572","76.838"
"1","10","17","0","0","0","0","0","0","0","0"
"1","10","18","0","0","0","0","0","0","0","0"
"1","10","19","0","0","0","0","0","0","0","0"
"1","10","20","0","0","0","0","0","0","0","0"
"1","10","21","0","0","0","0","0","0","0","0"
"1","10","22","0","0","0","1","0","0","0","0"
"1","10","23","0","0","0","1","0","0","0","0"
"1","11","0","0","0","1","1","0","1","0","0"
"1","11","1","0","0","1","1","0","1","0","0"
"1","11","2","0","0","1","1","0","1","0","0"
"1","11","3","0","0","1","1","0","1","0","0"
"1","11","4","0","0","1","1","0","1","0","0"
"1","11","5","0","0","1","1","0","1","0","0"
"1","11","6","0","0","1","1","0","1","0","0"
"1","11","7","0","0","2","1","0","2","0","0"
"1","11","8","83","37","2","1","74.316","1.756","65.599","59.237"
"1","11","9","0","62","2","1","59.838","1.703","55.605","49.445"
"1","11","10","0","61","3","1","57.918","2.557","53.672","47.551"
"1","11","11","0","104","4","1","100.773","5.048","92.631","85.703"
"1","11","12","0","40","4","1","37.95","3.125","35.104","29.347"
"1","11","13","3","146","5","1","148.05","7.56","134.951","127.084"
"1","11","14","645","92","6","1","517.81","21.144","444.402","427.636"
"1","11","15","553","69","6","0","355.533","22.453","296.955","284.873"
"1","11","16","294","36","5","0","139.612","12.104","113.285","105.907"
"1","11","17","0","0","5","0","0","5","0","0"
"1","11","18","0","0","4","0","0","4","0","0"
"1","11","19","0","0","4","0","0","4","0","0"
"1","11","20","0","0","4","0","0","4","0","0"
"1","11","21","0","0","3","0","0","3","0","0"
"1","11","22","0","0","3","0","0","3","0","0"
"1","11","23","0","0","3","0","0","3","0","0"
"1","12","0","0","0","3","0","0","3","0","0"
"1","12","1","0","0","2","0","0","2","0","0"
"1","12","2","0","0","2","0","0","2","0","0"
"1","12","3","0","0","2","0","0","2","0","0"
"1","12","4","0","0","3","0","0","3","0","0"
"1","12","5","0","0","3","0","0","3","0","0"
"1","12","6","0","0","4","0","0","4","0","0"
"1","12","7","0","0","4","0","0","4","0","0"
"1","12","8","119","37","5","0","85.011","4.527","73.377","66.855"
"1","12","9","73","98","6","0","140.908","9.884","125.974","118.312"
"1","12","10","0","54","8","0","51.253","8.57","46.568","40.589"
"1","12","11","98","187","10","0","271.44","19.079","237.498","227.076"
"1","12","12","240","195","11","0","406.905","27.104","345.965","332.415"
"1","12","13","199","186","11","0","350.506","26.188","298.788","286.653"
"1","12","14","95","150","11","0","220.418","20.984","191.101","181.883"
"1","12","15","92","97","10","0","154.815","16.166","135.242","127.368"
"1","12","16","39","36","9","0","54.965","10.067","48.092","42.082"
"1","12","17","0","0","9","0","0","9","0","0"
"1","12","18","0","0","9","0","0","9","0","0"
"1","12","19","0","0","9","0","0","9","0","0"
"1","12","20","0","0","8","0","0","8","0","0"
"1","12","21","0","0","8","0","0","8","0","0"
"1","12","22","0","0","9","0","0","9","0","0"
"1","12","23","0","0","10","0","0","10","0","0"
"1","13","0","0","0","10","0","0","10","0","0"
"1","13","1","0","0","10","1","0","10","0","0"
"1","13","2","0","0","10","1","0","10","0","0"
"1","13","3","0","0","10","1","0","10","0","0"
"1","13","4","0","0","10","1","0","10","0","0"
"1","13","5","0","0","10","1","0","10","0","0"
"1","13","6","0","0","11","1","0","11","0","0"
"1","13","7","0","0","11","1","0","11","0","0"
"1","13","8","0","23","11","1","21.805","9.125","19.776","14.311"
"1","13","9","0","53","12","1","50.314","11.241","45.312","39.357"
"1","13","10","11","132","12","1","139.752","14.422","124.411","116.784"
"1","13","11","10","154","13","1","161.558","16.642","142.814","134.765"
"1","13","12","3","154","14","1","155.847","17.581","137.367","129.444"
"1","13","13","46","177","14","0","222.476","22.154","192.799","183.538"
"1","13","14","0","80","14","0","76.748","16.937","67.803","61.396"
"1","13","15","155","98","13","0","186.123","18.871","160.234","151.773"
"1","13","16","0","1","12","0","0.945","10.696","0.852","0"
"1","13","17","0","0","12","0","0","12","0","0"
"1","13","18","0","0","12","0","0","12","0","0"
"1","13","19","0","0","11","0","0","11","0","0"
"1","13","20","0","0","11","0","0","11","0","0"
"1","13","21","0","0","10","0","0","10","0","0"
"1","13","22","0","0","8","0","0","8","0","0"
"1","13","23","0","0","6","1","0","6","0","0"
"1","14","0","0","0","4","1","0","4","0","0"
"1","14","1","0","0","2","1","0","2","0","0"
"1","14","2","0","0","1","1","0","1","0","0"
"1","14","3","0","0","0","0","0","0","0","0"
"1","14","4","0","0","0","0","0","0","0","0"
"1","14","5","0","0","0","0","0","0","0","0"
"1","14","6","0","0","-1","0","0","-1","0","0"
"1","14","7","0","0","-1","0","0","-1","0","0"
"1","14","8","0","4","-1","0","3.78","-5.501","3.595","0"
"1","14","9","0","24","0","1","22.735","-2.065","21.384","15.889"
"1","14","10","0","68","0","1","64.587","-0.472","60.441","54.184"
"1","14","11","0","78","0","1","74.121","0.126","69.229","62.793"
"1","14","12","0","92","0","0","88.067","1.141","81.986","75.285"
"1","14","13","0","126","0","0","123.867","3.16","114.562","107.155"
"1","14","14","0","96","0","0","93.446","2.28","86.674","79.873"
"1","14","15","0","57","-1","0","54.435","-1.235","51.065","44.997"
"1","14","16","0","15","-2","0","14.202","-5.226","13.493","8.145"
"1","14","17","0","0","-3","0","0","-3","0","0"
"1","14","18","0","0","-3","0","0","-3","0","0"
"1","14","19","0","0","-4","0","0","-4","0","0"
"1","14","20","0","0","-4","0","0","-4","0","0"
"1","14","21","0","0","-4","0","0","-4","0","0"
"1","14","22","0","0","-4","0","0","-4","0","0"
"1","14","23","0","0","-4","0","0","-4","0","0"
"1","15","0","0","0","-4","0","0","-4","0","0"
"1","15","1","0","0","-5","0","0","-5","0","0"
"1","15","2","0","0","-5","0","0","-5","0","0"
"1","15","3","0","0","-5","0","0","-5","0","0"
"1","15","4","0","0","-5","0","0","-5","0","0"
"1","15","5","0","0","-5","0","0","-5","0","0"
"1","15","6","0","0","-4","0","0","-4","0","0"
"1","15","7","0","0","-3","0","0","-3","0","0"
"1","15","8","0","30","-2","0","28.981","-5.364","27.547","21.935"
"1","15","9","298","91","-1","0","260.694","7.484","231.617","221.352"
"1","15","10","184","154","0","0","288.614","12.038","257.416","246.453"
"1","15","11","532","135","0","0","547.116","21.696","472.633","454.878"
"1","15","12","640","116","0","0","626.211","26.236","532.977","513.008"
"1","15","13","723","87","0","0","631.444","26.951","534.996","514.951"
"1","15","14","409","127","0","0","414.237","19.758","358.544","344.604"
"1","15","15","457","75","0","0","321.643","14.72","277.223","265.707"
"1","15","16","44","40","-1","0","61.157","2.725","54.836","48.692"
"1","15","17","0","0","-2","0","0","-2","0","0"
"1","15","18","0","0","-2","0","0","-2","0","0"
"1","15","19","0","0","-2","0","0","-2","0","0"
"1","15","20","0","0","-2","0","0","-2","0","0"
"1","15","21","0","0","-2","0","0","-2","0","0"
"1","15","22","0","0","-1","0","0","-1","0","0"
"1","15","23","0","0","-1","0","0","-1","0","0"
"1","16","0","0","0","-1","0","0","-1","0","0"
"1","16","1","0","0","-1","0","0","-1","0","0"
"1","16","2","0","0","-1","0","0","-1","0","0"
"1","16","3","0","0","-1","0","0","-1","0","0"
"1","16","4","0","0","-1","0","0","-1","0","0"
"1","16","5","0","0","-1","0","0","-1","0","0"
"1","16","6","0","0","-1","0","0","-1","0","0"
"1","16","7","0","0","0","0","0","0","0","0"
"1","16","8","0","7","0","0","6.619","-4.338","6.271","1.056"
"1","16","9","0","53","0","0","50.313","-2.26","47.353","41.358"
"1","16","10","0","75","0","0","71.521","-0.412","66.917","60.528"
"1","16","11","0","131","0","0","129.065","3.142","119.376","111.862"
"1","16","12","67","199","1","0","264.138","10.717","237.996","227.56"
